Importer,Value
Afghanistan,716.047
Afghanistan,6094.111
Afghanistan,1502.077
Albania,540.308611
Albania,22346.23605
Albania,2717.174289
Algeria,19802.78834
Algeria,271461.4287
Algeria,77739.42023
Algeria,5.297
Algeria,542.0743051
Angola,13726.78461
Angola,261310.3684
Angola,0.807
Angola,19752.64206
Angola,136.129
Antigua and Barbuda,0.413
Antigua and Barbuda,130.0652138
Antigua and Barbuda,28.86168015
Azerbaijan,1484.798243
Azerbaijan,2288.96125
Azerbaijan,1347.899446
Azerbaijan,10.51982894
Argentina,8503.533015
Argentina,52796.85402
Argentina,107770.4504
Argentina,7164.402278
Australia,102324.3952
Australia,257825.5974
Australia,617.854311
Australia,334612.6088
Australia,6674.499594
Austria,24885.96256
Austria,25388.73957
Austria,0.222
Austria,12131.04045
Austria,17.429
Austria,35381.84475
Bahamas,218.4318758
Bahamas,166.426
Bahamas,181.112
Bahrain,2620.121628
Bahrain,20830.65973
Bahrain,62705.41339
Bahrain,13628.22994
Bangladesh,118971.013
Bangladesh,721629.089
Bangladesh,84231.258
Bangladesh,427.651
Armenia,642.457
Armenia,12397.18336
Armenia,680.3214099
Armenia,170.71275
Barbados,172.591
Barbados,543.0668714
Barbados,1151.846268
Belgium,43494.60074
Belgium,1146075.224
Belgium,7.33042939
Belgium,144499.6836
Belgium,17195.134
Belgium,94763.67059
Bermuda,15.212
Bermuda,6.857
Bermuda,10.11746796
Bolivia,378.8578785
Bolivia,93524.20084
Bolivia,12288.56657
Bolivia,0.432
Bolivia,66.344
Bosnia Herzegovina,673.411
Bosnia Herzegovina,10760.64137
Bosnia Herzegovina,3138.165269
Bosnia Herzegovina,1375.828
Botswana,136.3197587
Botswana,12455.0326
Botswana,911.7229461
Brazil,32859.03508
Brazil,863618.2701
Brazil,129.191
Brazil,213046.1752
Brazil,35592.89369
Belize,21.773
Belize,235.5622878
Belize,411.8485816
Solomon Isds,2377.61299
Solomon Isds,5823.812862
Solomon Isds,586.2610312
Solomon Isds,0.12
British Virgin Isds,0.6
British Virgin Isds,0.63
Brunei Darussalam,6275.091527
Brunei Darussalam,43585.02999
Brunei Darussalam,2679.758501
Bulgaria,2042.363626
Bulgaria,28401.05007
Bulgaria,8027.4152
Bulgaria,2748.949284
Myanmar,22464.805
Myanmar,854959.128
Myanmar,65832.892
Myanmar,769.444
Burundi,863.352
Burundi,2098.261362
Burundi,945.1879141
Burundi,24.933
Belarus,1337.30136
Belarus,6835.465769
Belarus,9895.769084
Belarus,945.5175617
Cambodia,7985.071107
Cambodia,58179.79962
Cambodia,16137.39835
Cambodia,22.499
Cameroon,35682.85971
Cameroon,149280.4671
Cameroon,15493.75753
Cameroon,265.058167
Canada,60735.31048
Canada,369417.4829
Canada,624.163
Canada,251888.6735
Canada,269.264
Canada,163321.5108
Cabo Verde,70.97514309
Cabo Verde,627.480394
Cabo Verde,857.1111732
Cabo Verde,0.021
